canonical_athlete_id,name,sex,primary_weight_class,active_year_first,active_year_last,total_matches
athlete_4302,Yuji Arai,M|F,77KG,1999,2022,58
athlete_84,Alexandre Ribeiro,M,99KG,2003,2022,43
athlete_5463,Tomas Szczerek,M|F,+99KG,1998,2022,41
athlete_16,Marcelo Garcia,M,77KG,2003,2011,32
athlete_419,Leonardo Vieira,M,66KG,2000,2017,30
athlete_481,Saulo Ribeiro,M,88KG,1999,2009,30
athlete_224,Roberto Abreu,M,+99KG,2009,2022,29
athlete_1369,Dean Lister,M,99KG,2001,2015,28
athlete_733,Vinicius Magalhaes,M,+99KG,2009,2022,28
athlete_144,Andre Galvao,M,ABS,2007,2022,27
athlete_573,Fabricio Werdum,M,+99KG,2003,2011,26
athlete_919,Pablo Popovitch,M,77KG,2003,2015,26
athlete_576,Rafael Lovato Jr,M,88KG,2007,2022,26
athlete_6438,Chael Sonnen,M,ABS,1999,2022,24
athlete_6167,Ricco Rodriguez,M,+99KG,1998,2009,24
athlete_1023,Baret Yoshida,M,66KG,1999,2017,22
athlete_9,Marcio Cruz,M,+99KG,2001,2009,22
athlete_984,Marcus Almeida,M,+99KG,2013,2019,22
athlete_6550,Gordon Ryan,M,ABS,2017,2022,21
athlete_147,Rubens Charles,M,66KG,2009,2017,20
athlete_727,Alexandre de Freitas,M,66KG,1998,2003,19
athlete_278,Ricardo Almeida,M,99KG,1999,2003,19
athlete_1740,Yuri Simoes,M,ABS,2015,2022,19
athlete_2416,Felipe Pena,M,99KG,2015,2022,18
athlete_5649,Gary Tonon,M,77KG,2013,2022,18
athlete_320,Romulo Barral,M,88KG,2007,2017,18
athlete_8394,Vagner Rocha,M,77KG,2011,2022,17
athlete_422,Braulio Estima,M,ABS,2005,2013,16
athlete_595,Gabrielle Garcia,F,+60KG,2011,2022,16
athlete_3009,Keenan Cornelius,M,88KG,2013,2017,16
athlete_5861,Jared Dopp,M,+99KG,2013,2019,15
athlete_88,Jean Jacques Machado,M,77KG,1999,2005,15
athlete_2403,Joao Gabriel Rocha,M,+99KG,2013,2022,15
athlete_967,Jonathan Torres,M,77KG,2011,2022,15
athlete_52,Renzo Gracie,M,77KG,1998,2011,15
athlete_515,Royler Gracie,M,66KG,1999,2003,15
athlete_8346,Craig Jones,M,88KG,2017,2022,14
athlete_644,Joao Assis,M,99KG,2011,2017,14
athlete_117,Ronaldo Souza,M,88KG,2003,2011,14
athlete_188,Augusto Mendes,M,66KG,2011,2019,13
athlete_2452,Orlando Sanchez,M,+99KG,2013,2022,13
athlete_177,Rany Yahya,M,66KG,2003,2009,13
athlete_93,Ricardo Arona,M,99KG,2000,2003,13
athlete_505,Roger Gracie,M,99KG,2003,2007,13
athlete_410,Claudio Calasans,M,ABS,2011,2017,12
athlete_3592,Igor Praporschchikov,M,66KG,1999,2019,12
athlete_358,Lucas Lepri,M,77KG,2013,2019,12
athlete_179,Rafael Mendes,M,66KG,2009,2013,12
athlete_610,Jeff Glover,M,66KG,2007,2015,11
athlete_jeff-monson-m,Jeff Monson,M,99KG,1999,2011,11
athlete_232,Jose Mario Sperry,M,ABS,1998,2013,11
athlete_5842,Mahamed Aly,M,ABS,2017,2019,11
athlete_687,Marcio Feitosa,M,77KG,2000,2005,11
athlete_484,Murilo Santana,M,88KG,2009,2019,11
