canonical_athlete_id,name,sex,primary_weight_class,active_year_first,active_year_last,total_matches
athlete_a-cacareco-m,A. Cacareco,M,ABS,2001,2007,13
athlete_a-hamlet-m,A. Hamlet,M,66KG,2000,2000,1
athlete_a-zhanpeisov-m,A. Zhanpeisov,M,+99KG,2017,2017,2
athlete_aaron-johnson-m,Aaron Johnson,M,ABS,2019,2019,3
athlete_abdulaev-ruslan-m,Abdulaev Ruslan,M,+99KG,2017,2017,1
athlete_abdulkadirov-magomed-m,Abdulkadirov Magomed,M,77KG,2015,2015,2
athlete_abdurakhman-bilarov-m,Abdurakhman Bilarov,M,99KG,2017,2017,2
athlete_abraham-marte-messina-m,Abraham Marte Messina,M,+99KG,2015,2015,2
athlete_adam-sachnoff-m,Adam Sachnoff,M,99KG,2015,2015,1
athlete_adam-wardzinski-m,Adam Wardzinski,M,88KG,2019,2019,2
athlete_adele-fornarino-f,Adele Fornarino,F,60KG,2022,2022,1
athlete_adrian-serrano-m,Adrian Serrano,M,88KG,1998,1998,1
athlete_ahmad-faraj-m,Ahmad Faraj,M,88KG,1998,1998,1
athlete_aj-agazarm-m,AJ Agazarm,M,66KG,2013,2022,9
athlete_akihiro-gono-m,Akihiro Gono,M,88KG,1999,2001,2
athlete_akira-shoji-m,Akira Shoji,M,88KG,2003,2003,1
athlete_akira-shouji-m,Akira Shouji,M,88KG,1999,1999,1
athlete_akira-soji-m,Akira Soji,M,ABS,2003,2003,1
athlete_alec-baulding-m,Alec Baulding,M,88KG,2019,2019,1
athlete_alex-negao-m,Alex Negao,M,+99KG,2003,2003,1
athlete_alexander-savko-m,Alexander Savko,M,88KG,2001,2001,1
athlete_alexander-trans-m,Alexander Trans,M,+99KG,2011,2011,1
athlete_alexandre-de-freitas-m,Alexandre de Freitas,M,66KG,1998,2003,19
athlete_alexandre-jesus-m,Alexandre Jesus,M,88KG,2022,2022,1
athlete_alexandre-ribeiro-m,Alexandre Ribeiro,M,99KG,2003,2022,43
athlete_alexandre-vieira-m,Alexandre Vieira,M,66KG,2015,2015,1
athlete_alian-drueco-m,Alian Drueco,M,99KG,2013,2013,1
athlete_alison-tremblay-f,Alison Tremblay,F,+60KG,2015,2015,1
athlete_allan-teo-m,Allan Teo,M,66KG,2003,2003,1
athlete_amanda-alequin-santana-f,Amanda Alequin / Santana,F,+60KG,2017,2017,1
athlete_amanda-leve-f,Amanda Leve,F,+60KG,2019,2019,1
athlete_amanda-santana-f,Amanda Santana,F,+60KG,2015,2015,1
athlete_amaury-bitetti-m,Amaury Bitetti,M,88KG,1999,1999,2
athlete_amir-allam-m,Amir Allam,M,+99KG,2013,2013,1
athlete_amy-campo-f,Amy Campo,F,+60KG,2022,2022,3
athlete_ana-carolina-f,Ana Carolina,F,+60KG,2019,2019,1
athlete_ana-carolina-vieira-f,Ana Carolina Vieira,F,+60KG,2019,2019,1
athlete_andre-galvao-m,Andre Galvao,M,ABS,2007,2022,27
athlete_andreas-olsen-m,Andreas Olsen,M,99KG,2009,2009,1
athlete_andy-reese-m,Andy Reese,M,88KG,2003,2003,1
athlete_andy-varela-m,Andy Varela,M,77KG,2022,2022,2
athlete_andy-wang-m,Andy Wang,M,77KG,2013,2013,1
athlete_anthony-perosh-m,Anthony Perosh,M,99KG,2009,2009,1
athlete_antoine-joude-m,Antoine Joude,M,99KG,2005,2005,2
athlete_antonio-braga-neto-m,Antonio Braga Neto,M,99KG,2011,2019,4
athlete_antonio-peinado-m,Antonio Peinado,M,99KG,2011,2011,2
athlete_antonio-schembri-m,Antonio Schembri,M,88KG,2001,2001,4
athlete_asa-fuller-m,Asa Fuller,M,+99KG,2009,2009,1
athlete_asadulaev-surkhay-m,Asadulaev Surkhay,M,66KG,2015,2015,1
athlete_ashley-williams-m,Ashley Williams,M,66KG,2022,2022,1
athlete_augusto-ferrari-m,Augusto Ferrari,M,99KG,2011,2011,1
athlete_augusto-mendes-m,Augusto Mendes,M,66KG,2011,2019,13
athlete_baret-yoshida-m,Baret Yoshida,M,66KG,1999,2017,22
athlete_beatriz-mesquita-f,Beatriz Mesquita,F,60KG,2019,2022,4
athlete_ben-askren-m,Ben Askren,M,77KG,2009,2009,1
