match_id,role,raw_name,canonical_athlete_id
3314,winner,Murilo Santana,athlete_murilo-santana-m
3314,loser,Vinicius Magalhaes,athlete_vinicius-magalhaes-m
35049,winner,Nicholas Meregali,athlete_nicholas-meregali-m
35049,loser,Henrique Cardoso,athlete_henrique-cardoso-m
35053,winner,Nicholas Meregali,athlete_nicholas-meregali-m
35053,loser,Yuri Simoes,athlete_yuri-simoes-m
35057,winner,Nicholas Meregali,athlete_nicholas-meregali-m
35057,loser,Rafael Lovato Jr,athlete_rafael-lovato-jr-m
35096,winner,Nicholas Meregali,athlete_nicholas-meregali-m
35096,loser,Giancarlo Bodoni,athlete_giancarlo-bodoni-m
35100,winner,Nicholas Meregali,athlete_nicholas-meregali-m
35100,loser,Tye Ruotolo,athlete_tye-ruotolo-m
21816,winner,Nick Rodriguez,athlete_nick-rodriguez-m
21816,loser,Mahamed Aly,athlete_mahamed-aly-m
21822,winner,Nick Rodriguez,athlete_nick-rodriguez-m
21822,loser,Orlando Sanchez,athlete_orlando-sanchez-m
21883,winner,Nick Rodriguez,athlete_nick-rodriguez-m
21883,loser,Roberto Abreu,athlete_roberto-abreu-m
35071,winner,Nick Rodriguez,athlete_nick-rodriguez-m
35071,loser,Felipe Pena,athlete_felipe-pena-m
35088,winner,Nick Rodriguez,athlete_nick-rodriguez-m
35088,loser,Andy Varela,athlete_andy-varela-m
5004,winner,Otavio Sousa,athlete_otavio-sousa-m
5004,loser,Leonardo Vieira,athlete_leonardo-vieira-m
7948,winner,Otavio Sousa,athlete_otavio-sousa-m
7948,loser,Vagner Rocha,athlete_vagner-rocha-m
7902,winner,Orlando Sanchez,athlete_orlando-sanchez-m
7902,loser,Dean Lister,athlete_dean-lister-m
7905,winner,Orlando Sanchez,athlete_orlando-sanchez-m
7905,loser,Vinicius Magalhaes,athlete_vinicius-magalhaes-m
7908,winner,Orlando Sanchez,athlete_orlando-sanchez-m
7908,loser,Jared Dopp,athlete_jared-dopp-m
13856,winner,Orlando Sanchez,athlete_orlando-sanchez-m
13856,loser,Jared Dopp,athlete_jared-dopp-m
13918,winner,Pablo Mantovani,athlete_pablo-mantovani-m
13918,loser,Augusto Mendes,athlete_augusto-mendes-m
21864,winner,Pablo Mantovani,athlete_pablo-mantovani-m
21864,loser,Thomas Halpin,athlete_thomas-halpin-m
777,winner,Pablo Popovitch,athlete_pablo-popovitch-m
777,loser,Marcio Feitosa,athlete_marcio-feitosa-m
1176,winner,Pablo Popovitch,athlete_pablo-popovitch-m
1176,loser,Renzo Gracie,athlete_renzo-gracie-m
1181,winner,Pablo Popovitch,athlete_pablo-popovitch-m
1181,loser,Jake Shields,athlete_jake-shields-m
1691,winner,Pablo Popovitch,athlete_pablo-popovitch-m
1691,loser,Andre Galvao,athlete_andre-galvao-m
2257,winner,Pablo Popovitch,athlete_pablo-popovitch-m
2257,loser,Marcelo Garcia,athlete_marcelo-garcia-m
3270,winner,Pablo Popovitch,athlete_pablo-popovitch-m
3270,loser,Sergio Moraes,athlete_sergio-moraes-m
3292,winner,Pablo Popovitch,athlete_pablo-popovitch-m
3292,loser,Rafael Lovato Jr,athlete_rafael-lovato-jr-m
3312,winner,Pablo Popovitch,athlete_pablo-popovitch-m
3312,loser,Victor Estima,athlete_victor-estima-m
35012,winner,Paul Schreiner,athlete_paul-schreiner-m
35012,loser,Tommy Langaker,athlete_tommy-langaker-m
13917,winner,Paulo Miyao,athlete_paulo-miyao-m
13917,loser,Geovanny Martinez,athlete_geovanny-martinez-m
13922,winner,Paulo Miyao,athlete_paulo-miyao-m
13922,loser,Pablo Mantovani,athlete_pablo-mantovani-m
21898,winner,Paulo Miyao,athlete_paulo-miyao-m
21898,loser,Tye Ruotolo,athlete_tye-ruotolo-m
35064,winner,Rida Haisam,athlete_rida-haisam-m
35064,loser,Roberto Abreu,athlete_roberto-abreu-m
5048,winner,Roberto Abreu,athlete_roberto-abreu-m
5048,loser,Orlando Sanchez,athlete_orlando-sanchez-m
5051,winner,Roberto Abreu,athlete_roberto-abreu-m
5051,loser,Jared Dopp,athlete_jared-dopp-m
5058,winner,Roberto Abreu,athlete_roberto-abreu-m
5058,loser,Gary Tonon,athlete_gary-tonon-m
5062,winner,Roberto Abreu,athlete_roberto-abreu-m
5062,loser,Keenan Cornelius,athlete_keenan-cornelius-m
5065,winner,Roberto Abreu,athlete_roberto-abreu-m
5065,loser,Marcus Almeida,athlete_marcus-almeida-m
13855,winner,Roberto Abreu,athlete_roberto-abreu-m
13855,loser,Victor Honorio,athlete_victor-honorio-m
13858,winner,Roberto Abreu,athlete_roberto-abreu-m
13858,loser,Jared Dopp,athlete_jared-dopp-m
35090,winner,Roberto Abreu,athlete_roberto-abreu-m
35090,loser,Elder Cruz,athlete_elder-cruz-m
35017,winner,Roberto Jimenez,athlete_roberto-jimenez-m
35017,loser,Andy Varela,athlete_andy-varela-m
505,winner,Robson Moura,athlete_robson-moura-m
505,loser,Alexandre de Freitas,athlete_alexandre-de-freitas-m
7919,winner,Rodolfo Vieira,athlete_rodolfo-vieira-m
