canonical_athlete_id,name,sex,primary_weight_class,active_year_first,active_year_last,total_matches
athlete_alexandre-ribeiro-m,Alexandre Ribeiro,M,99KG,2003,2022,43
athlete_marcelo-garcia-m,Marcelo Garcia,M,77KG,1998,2011,33
athlete_leonardo-vieira-m,Leonardo Vieira,M,66KG,2000,2017,30
athlete_saulo-ribeiro-m,Saulo Ribeiro,M,88KG,1999,2009,30
athlete_roberto-abreu-m,Roberto Abreu,M,+99KG,2009,2022,29
athlete_vinicius-magalhaes-m,Vinicius Magalhaes,M,+99KG,1999,2022,29
athlete_dean-lister-m,Dean Lister,M,99KG,2001,2015,28
athlete_andre-galvao-m,Andre Galvao,M,ABS,2007,2022,27
athlete_rafael-lovato-jr-m,Rafael Lovato Jr,M,88KG,2007,2022,26
athlete_pablo-popovitch-m,Pablo Popovitch,M,77KG,2003,2015,26
athlete_fabricio-werdum-m,Fabricio Werdum,M,+99KG,2003,2011,26
athlete_ricco-rodriguez-m,Ricco Rodriguez,M,+99KG,1998,2009,24
athlete_marcus-almeida-m,Marcus Almeida,M,+99KG,2013,2019,22
athlete_baret-yoshida-m,Baret Yoshida,M,66KG,1999,2017,22
athlete_marcio-cruz-m,Marcio Cruz,M,+99KG,2001,2009,22
athlete_gordon-ryan-m,Gordon Ryan,M,ABS,2017,2022,21
athlete_rubens-charles-m,Rubens Charles,M,66KG,2009,2017,20
athlete_yuri-simoes-m,Yuri Simoes,M,ABS,2015,2022,19
athlete_alexandre-de-freitas-m,Alexandre de Freitas,M,66KG,1998,2003,19
athlete_ricardo-almeida-m,Ricardo Almeida,M,99KG,1999,2003,19
athlete_felipe-pena-m,Felipe Pena,M,99KG,2015,2022,18
athlete_gary-tonon-m,Gary Tonon,M,77KG,2013,2022,18
athlete_romulo-barral-m,Romulo Barral,M,88KG,2007,2017,18
athlete_vagner-rocha-m,Vagner Rocha,M,77KG,2011,2022,17
athlete_gabrielle-garcia-f,Gabrielle Garcia,F,+60KG,2011,2022,16
athlete_keenan-cornelius-m,Keenan Cornelius,M,88KG,2013,2017,16
athlete_braulio-estima-m,Braulio Estima,M,ABS,2005,2013,16
athlete_craig-jones-m,Craig Jones,M,88KG,2015,2022,15
athlete_joao-gabriel-rocha-m,Joao Gabriel Rocha,M,+99KG,2013,2022,15
athlete_jonathan-torres-m,Jonathan Torres,M,77KG,2011,2022,15
athlete_jared-dopp-m,Jared Dopp,M,+99KG,2013,2019,15
athlete_renzo-gracie-m,Renzo Gracie,M,77KG,1998,2011,15
athlete_jean-jacques-machado-m,Jean Jacques Machado,M,77KG,1999,2005,15
athlete_royler-gracie-m,Royler Gracie,M,66KG,1999,2003,15
athlete_joao-assis-m,Joao Assis,M,99KG,2011,2017,14
athlete_ronaldo-souza-m,Ronaldo Souza,M,88KG,2003,2011,14
athlete_orlando-sanchez-m,Orlando Sanchez,M,+99KG,2013,2022,13
athlete_augusto-mendes-m,Augusto Mendes,M,66KG,2011,2019,13
athlete_jeff-monson-m,Jeff Monson,M,99KG,1999,2017,13
athlete_rany-yahya-m,Rany Yahya,M,66KG,2003,2009,13
athlete_a-cacareco-m,A. Cacareco,M,ABS,2001,2007,13
athlete_roger-gracie-m,Roger Gracie,M,99KG,2003,2007,13
athlete_ricardo-arona-m,Ricardo Arona,M,99KG,2000,2003,13
athlete_lucas-lepri-m,Lucas Lepri,M,77KG,2013,2019,12
athlete_claudio-calasans-m,Claudio Calasans,M,ABS,2011,2017,12
athlete_rafael-mendes-m,Rafael Mendes,M,66KG,2009,2013,12
athlete_mahamed-aly-m,Mahamed Aly,M,ABS,2017,2019,11
athlete_murilo-santana-m,Murilo Santana,M,88KG,2009,2019,11
athlete_jeff-glover-m,Jeff Glover,M,66KG,2007,2015,11
athlete_david-avellan-m,David Avellan,M,88KG,2005,2013,11
athlete_jose-mario-sperry-m,Jose Mario Sperry,M,ABS,1998,2013,11
athlete_marcio-feitosa-m,Marcio Feitosa,M,77KG,2000,2005,11
athlete_kaynan-duarte-m,Kaynan Duarte,M,+99KG,2017,2022,10
athlete_nick-rodriguez-m,Nick Rodriguez,M,+99KG,2019,2022,10
athlete_rodolfo-vieira-m,Rodolfo Vieira,M,99KG,2011,2015,10
athlete_kron-gracie-m,Kron Gracie,M,77KG,2009,2013,10
athlete_leonardo-santos-m,Leonardo Santos,M,77KG,2001,2009,10
athlete_rigan-machado-m,Rigan Machado,M,99KG,1999,2003,10
athlete_ricardo-liborio-m,Ricardo Liborio,M,88KG,1999,2001,10
athlete_aj-agazarm-m,AJ Agazarm,M,66KG,2013,2022,9
athlete_bianca-basilio-f,Bianca Basilio,F,60KG,2017,2022,9
athlete_lachlan-giles-m,Lachlan Giles,M,ABS,2015,2022,9
athlete_dante-leon-m,Dante Leon,M,77KG,2019,2022,8
athlete_geovanny-martinez-m,Geovanny Martinez,M,66KG,2015,2022,8
athlete_nicholas-meregali-m,Nicholas Meregali,M,99KG,2022,2022,8
athlete_tye-ruotolo-m,Tye Ruotolo,M,66KG,2019,2022,8
athlete_paulo-miyao-m,Paulo Miyao,M,66KG,2017,2019,8
athlete_otavio-sousa-m,Otavio Sousa,M,77KG,2013,2015,8
athlete_justin-rader-m,Justin Rader,M,66KG,2009,2013,8
athlete_robson-moura-m,Robson Moura,M,66KG,2001,2011,8
athlete_tarsis-humpreys-m,Tarsis Humpreys,M,88KG,2007,2009,8
athlete_demian-maia-m,Demian Maia,M,88KG,2005,2007,8
athlete_rodrigo-medeiros-m,Rodrigo Medeiros,M,ABS,2000,2003,8
athlete_rodrigo-gracie-m,Rodrigo Gracie,M,77KG,1998,2001,8
athlete_lucas-daniel-barbosa-m,Lucas Daniel Barbosa,M,88KG,2019,2022,7
athlete_vinicius-ferreira-m,Vinicius Ferreira,M,99KG,2019,2022,7
athlete_bruno-frazatto-m,Bruno Frazatto,M,66KG,2011,2019,7
athlete_vitor-ribeiro-m,Vitor Ribeiro,M,77KG,2000,2003,7
athlete_roberto-traven-m,Roberto Traven,M,ABS,1999,2001,7
athlete_ffion-davies-f,Ffion Davies,F,60KG,2019,2022,6
athlete_giancarlo-bodoni-m,Giancarlo Bodoni,M,88KG,2022,2022,6
athlete_josh-hinger-m,Josh Hinger,M,88KG,2019,2022,6
athlete_kennedy-maciel-m,Kennedy Maciel,M,66KG,2019,2022,6
athlete_matheus-diniz-m,Matheus Diniz,M,88KG,2019,2022,6
athlete_victor-hugo-m,Victor Hugo,M,+99KG,2019,2022,6
athlete_jackson-sousa-m,Jackson Sousa,M,99KG,2017,2019,6
athlete_pablo-mantovani-m,Pablo Mantovani,M,66KG,2017,2019,6
athlete_rustam-chsiev-m,Rustam Chsiev,M,88KG,2013,2019,6
athlete_tim-spriggs-m,Tim Spriggs,M,+99KG,2017,2019,6
athlete_mark-kerr-m,Mark Kerr,M,ABS,2000,2003,6
athlete_patrick-gaudio-m,Patrick Gaudio,M,99KG,2019,2022,5
athlete_pedro-marinho-m,Pedro Marinho,M,88KG,2019,2022,5
athlete_celso-vinicius-m,Celso Vinicius,M,77KG,2017,2019,5
athlete_dealonzio-jackson-m,DeAlonzio Jackson,M,77KG,2013,2019,5
athlete_jon-blank-m,Jon Blank,M,88KG,2019,2019,5
athlete_jake-shields-m,Jake Shields,M,77KG,2005,2017,5
athlete_leonardo-nogueira-m,Leonardo Nogueira,M,99KG,2013,2013,5
athlete_gunnar-nelson-m,Gunnar Nelson,M,ABS,2009,2011,5
athlete_ryan-hall-m,Ryan Hall,M,66KG,2009,2011,5
athlete_jorge-patino-m,Jorge Patino,M,88KG,2000,2005,5
athlete_beatriz-mesquita-f,Beatriz Mesquita,F,60KG,2019,2022,4
athlete_diego-oliveira-m,Diego Oliveira,M,66KG,2022,2022,4
athlete_diogo-reis-m,Diogo Reis,M,66KG,2022,2022,4
athlete_eoghan-oflanagan-m,Eoghan OFlanagan,M,88KG,2022,2022,4
athlete_gabriel-sousa-m,Gabriel Sousa,M,66KG,2022,2022,4
athlete_john-hansen-m,John Hansen,M,+99KG,2019,2022,4
athlete_joshua-cisneros-m,Joshua Cisneros,M,66KG,2022,2022,4
athlete_kade-ruotolo-m,Kade Ruotolo,M,77KG,2022,2022,4
athlete_mason-fowler-m,Mason Fowler,M,88KG,2019,2022,4
athlete_micael-galvao-m,Micael Galvao,M,77KG,2022,2022,4
athlete_nicky-ryan-m,Nicky Ryan,M,66KG,2017,2022,4
athlete_paul-ardilaibarra-m,Paul Ardila-Ibarra,M,99KG,2015,2022,4
athlete_paul-schreiner-m,Paul Schreiner,M,77KG,2022,2022,4
athlete_renato-forasieppi-canuto-m,Renato Forasieppi Canuto,M,77KG,2019,2022,4
athlete_antonio-braga-neto-m,Antonio Braga Neto,M,99KG,2011,2019,4
athlete_james-puopolo-m,James Puopolo,M,99KG,2011,2019,4
athlete_bruno-bastos-m,Bruno Bastos,M,ABS,2009,2017,4
athlete_dillon-danis-m,Dillon Danis,M,ABS,2015,2017,4
athlete_kamil-huminski-m,Kamil Huminski,M,99KG,2013,2017,4
athlete_mackenzie-dern-f,Mackenzie Dern,F,60KG,2015,2017,4
athlete_victor-honorio-m,Victor Honorio,M,+99KG,2017,2017,4
athlete_davi-ramos-m,Davi Ramos,M,77KG,2015,2015,4
athlete_gilbert-burns-m,Gilbert Burns,M,77KG,2015,2015,4
athlete_hideki-sekine-m,Hideki Sekine,M,+99KG,2013,2015,4
athlete_joao-miyao-m,Joao Miyao,M,66KG,2013,2013,4
athlete_rousimar-palhares-m,Rousimar Palhares,M,88KG,2011,2011,4
athlete_sergio-moraes-m,Sergio Moraes,M,88KG,2011,2011,4
athlete_victor-estima-m,Victor Estima,M,77KG,2011,2011,4
athlete_robert-drysdale-m,Robert Drysdale,M,ABS,2007,2009,4
athlete_gabriel-napao-m,Gabriel Napao,M,+99KG,2005,2005,4
athlete_david-terrell-m,David Terrell,M,88KG,2003,2003,4
athlete_antonio-schembri-m,Antonio Schembri,M,88KG,2001,2001,4
athlete_egan-inoue-m,Egan Inoue,M,88KG,1999,2001,4
athlete_matt-serra-m,Matt Serra,M,77KG,2001,2001,4
athlete_amy-campo-f,Amy Campo,F,+60KG,2022,2022,3
athlete_brianna-stemarie-f,Brianna Ste-Marie,F,60KG,2022,2022,3
athlete_elder-cruz-m,Elder Cruz,M,99KG,2022,2022,3
athlete_ethan-crelinsten-m,Ethan Crelinsten,M,66KG,2017,2022,3
athlete_fabricio-andrey-m,Fabricio Andrey,M,66KG,2022,2022,3
athlete_keith-krikorian-m,Keith Krikorian,M,66KG,2019,2022,3
athlete_max-gimenis-m,Max Gimenis,M,+99KG,2019,2022,3
athlete_oliver-taza-m,Oliver Taza,M,77KG,2017,2022,3
athlete_rafaela-guedes-f,Rafaela Guedes,F,+60KG,2022,2022,3
