match_id,role,raw_name,mapped_name,canonical_athlete_id,sex,weight_class,year
3314,winner,Murilo Santana,Murilo Santana,athlete_murilo-santana-m,M,ABS,2011
3314,loser,Vinicius Magalhaes,Vinicius Magalhaes,athlete_vinicius-magalhaes-m,M,ABS,2011
35049,winner,Nicholas Meregali,Nicholas Meregali,athlete_nicholas-meregali-m,M,99KG,2022
35049,loser,Henrique Cardoso,Henrique Cardoso,athlete_henrique-cardoso-m,M,99KG,2022
35053,winner,Nicholas Meregali,Nicholas Meregali,athlete_nicholas-meregali-m,M,99KG,2022
35053,loser,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,99KG,2022
35057,winner,Nicholas Meregali,Nicholas Meregali,athlete_nicholas-meregali-m,M,99KG,2022
35057,loser,Rafael Lovato Jr,Rafael Lovato Jr,athlete_rafael-lovato-jr-m,M,99KG,2022
35096,winner,Nicholas Meregali,Nicholas Meregali,athlete_nicholas-meregali-m,M,ABS,2022
35096,loser,Giancarlo Bodoni,Giancarlo Bodoni,athlete_giancarlo-bodoni-m,M,ABS,2022
35100,winner,Nicholas Meregali,Nicholas Meregali,athlete_nicholas-meregali-m,M,ABS,2022
35100,loser,Tye Ruotolo,Tye Ruotolo,athlete_tye-ruotolo-m,M,ABS,2022
21816,winner,Nick Rodriguez,Nick Rodriguez,athlete_nick-rodriguez-m,M,+99KG,2019
21816,loser,Mahamed Aly,Mahamed Aly,athlete_mahamed-aly-m,M,+99KG,2019
21822,winner,Nick Rodriguez,Nick Rodriguez,athlete_nick-rodriguez-m,M,+99KG,2019
21822,loser,Orlando Sanchez,Orlando Sanchez,athlete_orlando-sanchez-m,M,+99KG,2019
21883,winner,Nick Rodriguez,Nick Rodriguez,athlete_nick-rodriguez-m,M,+99KG,2019
21883,loser,Roberto Abreu,Roberto Abreu,athlete_roberto-abreu-m,M,+99KG,2019
35071,winner,Nick Rodriguez,Nick Rodriguez,athlete_nick-rodriguez-m,M,+99KG,2022
35071,loser,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,+99KG,2022
35088,winner,Nick Rodriguez,Nick Rodriguez,athlete_nick-rodriguez-m,M,ABS,2022
35088,loser,Andy Varela,Andy Varela,athlete_andy-varela-m,M,ABS,2022
5004,winner,Otavio Sousa,Otavio Sousa,athlete_otavio-sousa-m,M,77KG,2013
5004,loser,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,77KG,2013
7948,winner,Otavio Sousa,Otavio Sousa,athlete_otavio-sousa-m,M,77KG,2015
